OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-16 R/B,1988-039B,2026-05-17T16:20:53.885472,14.19625946,.00236792,71.0146,282.6627,237.1827,122.7018,0,U,19120,999,96817,-.48401482E-4,-.151E-5,0
COSMOS 1953,1988-050A,2026-05-18T03:00:16.523136,15.29516829,.0008972,82.5073,88.3340,231.3473,128.6965,0,U,19210,999,4839,.17551E-3,.5058E-4,0
SL-8 R/B,1988-053B,2026-05-18T01:26:20.225184,14.38951768,.0019728,74.0477,344.5951,150.3745,7.3347,0,U,19257,999,98657,.6351E-4,.17E-5,0
COSMOS 1975,1988-093A,2026-05-18T04:23:36.949056,15.28914115,.0009402,82.5213,47.8693,289.7135,70.3091,0,U,19573,999,3002,.14136E-3,.4007E-4,0
SL-14 R/B,1988-093B,2026-05-18T01:14:04.759872,14.85716528,.0021027,82.5304,336.9420,164.5110,354.4904,0,U,19574,999,1131,.28735E-4,.275E-5,0
SL-16 R/B,1988-102B,2026-05-18T01:21:00.261792,14.16161563,.0016531,71.0007,5.5410,265.6943,94.2291,0,U,19650,999,93671,-.92749E-4,-.232E-5,0
INTERCOSMOS 24,1989-080A,2026-05-18T03:37:44.054112,12.59616320,.1187941,82.6073,59.1810,131.5564,239.3753,0,U,20261,999,67554,.8919E-4,.333E-5,0
SL-14 R/B,1989-080C,2026-05-18T02:00:32.025600,12.50543275,.1230475,82.5895,128.6444,26.2306,339.6091,0,U,20262,999,66882,.84631E-4,.302E-5,0
DELTA 1 R/B,1989-089B,2026-05-18T03:31:28.842240,14.50709235,.0067299,97.0647,334.5096,262.9501,96.4040,0,U,20323,999,90580,.58005E-4,.198E-5,0
ARIANE 40 R/B,1990-005H,2026-05-18T03:56:57.901920,14.39909839,.0009975,98.2976,196.7115,3.6817,356.4443,0,U,20443,999,90280,.58754E-4,.143E-5,0
DELTA 2 R/B(1),1990-008B,2026-05-18T02:38:02.602176,15.64489550,.0070954,35.6021,76.1767,192.8346,167.0586,0,U,20453,999,93698,.3815E-3,.43612E-3,0
COSMOS 2058,1990-010A,2026-05-18T00:31:51.466080,15.11824302,.0010977,82.4684,339.1054,94.6195,265.6289,0,U,20465,999,95271,.12623E-3,.2188E-4,0
SL-14 R/B,1990-010B,2026-05-18T03:43:57.264096,14.83626516,.0021297,82.5037,202.1462,72.6082,287.7460,0,U,20466,999,93878,.25125E-4,.232E-5,0
SL-14 R/B,1990-018B,2026-05-18T02:31:12.635904,14.82195902,.001522,82.5204,158.2264,219.2006,140.8107,0,U,20511,999,93286,.23348E-4,.21E-5,0
HST,1990-037B,2026-05-18T02:01:47.004384,15.30409410,.0001786,28.4749,286.2564,152.3712,207.6979,0,U,20580,999,78395,.16211E-3,.5136E-4,0
SL-16 R/B,1990-046B,2026-05-18T04:29:22.188768,14.15022873,.0015154,70.9975,151.9549,207.9111,152.1201,0,U,20625,999,85822,-.81716E-4,-.206E-5,0
COSMOS 2084,1990-055A,2026-05-18T04:23:16.975968,15.05977480,.0006852,62.7882,98.4881,230.3844,129.6652,0,U,20663,999,94678,.80024E-4,.969E-5,0
SL-6 R/B(2),1990-055D,2026-05-18T01:29:54.199968,15.03887442,.0035848,62.7833,17.8789,0.7650,359.3498,0,U,20666,999,94862,.89015E-4,.1042E-4,0
SL-8 R/B,1990-078B,2026-05-18T03:28:41.555424,14.91293797,.0354837,82.9028,188.7615,139.5011,223.3211,0,U,20775,999,81964,.43121E-3,.15142E-3,0
SL-8 R/B,1991-006B,2026-05-18T01:36:54.886752,13.77504740,.0021893,82.9398,118.4416,197.3413,237.1007,0,U,21088,999,77362,-.56145E-4,-.41E-6,0
