OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ASTRA 1L,2007-016A,2026-05-18T04:34:46.852320,1.00269274,.0004933,1.2452,81.7745,347.8253,210.4713,0,U,31306,999,4468,0,-.181E-5,0
GALAXY 17 (G-17),2007-016B,2026-05-18T04:44:04.337952,1.00270564,.0004418,2.8978,80.2598,350.9238,150.7260,0,U,31307,999,6950,0,-.202E-5,0
INTELSAT 11 (IS-11),2007-044B,2026-05-18T04:45:59.675904,0.99047106,.000051,3.4886,79.0147,133.2858,352.7351,0,U,32253,999,6815,0,.31E-6,0
WGS F1 (USA 195),2007-046A,2026-05-18T04:59:32.609184,1.00269000,.0000181,0.0650,93.0820,210.2585,324.9636,0,U,32258,999,5203,0,-.263E-5,0
SKYNET 5B,2007-056B,2026-05-18T01:15:38.668032,1.00273576,.0003549,5.1779,73.8527,341.9080,223.9943,0,U,32294,999,6789,0,.143E-5,0
ASTRA 4A,2007-057A,2026-05-18T01:31:38.578080,1.00270500,.0002088,0.0241,21.7685,32.0076,209.6887,0,U,32299,999,5134,0,.37E-6,0
HORIZONS-2,2007-063B,2026-05-18T05:16:52.758048,1.00269526,.0003502,2.5261,80.9746,340.4798,179.8851,0,U,32388,999,6751,0,-.25E-5,0
THURAYA-3,2008-001A,2026-05-18T04:10:21.669888,1.00269514,.0001887,5.9407,35.7572,15.7464,345.4372,0,U,32404,999,6719,0,-.3E-5,0
THOR 5,2008-006A,2026-05-17T22:07:38.709120,1.00270495,.00023003,0.0168,271.8532,151.3673,143.5556,0,U,32487,999,6701,0,-.4E-7,0
AMC-14,2008-011A,2026-05-17T05:49:38.529984,1.00349358,.00476094,23.9691,20.8944,4.0710,354.2116,0,U,32708,999,6785,0,.17E-6,0
DIRECTV 11,2008-013A,2026-05-18T04:04:38.694720,1.00271115,.000029,0.0049,45.1443,313.2285,199.4700,0,U,32729,999,4529,0,-.122E-5,0
ICO G1,2008-016A,2026-05-18T03:56:38.747040,1.00272478,.0002397,5.5331,36.2319,5.6941,160.2432,0,U,32763,999,6624,0,-.17E-5,0
VINASAT-1,2008-018A,2026-05-17T21:50:18.187008,1.00271596,.00013323,0.0099,321.0569,108.6337,265.4481,0,U,32767,999,6628,0,-.323E-5,0
STAR ONE C2,2008-018B,2026-05-18T04:51:09.698976,1.00271237,.0002508,1.1656,82.6915,326.7722,194.2483,0,U,32768,999,6635,0,-.273E-5,0
AMOS-3,2008-022A,2026-05-18T01:23:38.853312,1.00460862,.0000917,0.3782,86.5809,70.2599,117.3491,0,U,32794,999,8203,0,.136E-5,0
GALAXY 18 (G-18),2008-024A,2026-05-18T05:14:38.283360,1.00269698,.0002809,0.0550,97.4724,323.0281,131.0704,0,U,32951,999,4555,0,.29E-6,0
ZHONGXING-9,2008-028A,2026-05-18T04:50:21.612192,1.00270100,.0005217,0.6916,85.6815,304.9793,10.2211,0,U,33051,999,6573,0,-.245E-5,0
SKYNET 5C,2008-030A,2026-05-18T01:47:38.461344,1.00271666,.0003638,3.7131,77.3816,343.9952,183.5332,0,U,33055,999,6565,0,-.136E-5,0
TURKSAT 3A,2008-030B,2026-05-17T23:54:38.672352,1.00269066,.0004962,0.0625,88.1751,320.3609,227.8163,0,U,33056,999,5205,0,.151E-5,0
INTELSAT 25 (IS-25),2008-034A,2026-05-17T22:26:38.574816,0.99170450,.0001495,2.6311,80.6536,347.0985,40.5759,0,U,33153,999,6539,0,.35E-6,0
ECHOSTAR 11,2008-035A,2026-05-18T04:34:38.345376,1.00271131,.0002426,0.9284,84.4668,307.4769,162.7972,0,U,33207,999,5091,0,-.54E-6,0
SUPERBIRD-C2,2008-038A,2026-05-17T21:51:25.579008,1.00270241,.0005189,2.2840,81.6174,14.3793,243.4799,0,U,33274,999,10542,0,-.301E-5,0
INMARSAT 4-F3,2008-039A,2026-05-17T15:02:53.083392,1.00271840,.00030494,4.2680,31.5177,29.5556,301.9764,0,U,33278,999,4623,0,-.136E-5,0
NIMIQ 4,2008-044A,2026-05-18T05:29:59.761824,1.00273104,.0002223,0.0161,307.2819,93.8975,195.2495,0,U,33373,999,6468,0,-.217E-5,0
GALAXY 19 (G-19),2008-045A,2026-05-18T04:04:38.694720,1.00271197,.0002536,0.0672,97.3495,326.1720,136.5056,0,U,33376,999,6460,0,-.135E-5,0
ASTRA 1M,2008-057A,2026-05-18T01:15:38.668032,1.00271935,.0004318,0.2193,81.5544,10.0039,182.4643,0,U,33436,999,4543,0,.125E-5,0
EUTELSAT HOTBIRD 13C,2008-065A,2026-05-18T04:22:38.724096,1.00271921,.0003777,2.8744,79.5269,336.9355,194.7923,0,U,33459,999,4704,0,-.279E-5,0
EXPRESS-AM44,2009-007A,2026-05-17T21:09:35.747136,1.00270967,.00041285,3.3856,78.7485,336.5262,126.7076,0,U,33595,999,5198,0,-.84E-6,0
NSS-9,2009-008A,2026-05-17T20:22:10.295328,1.00270707,.00021785,1.1842,82.9002,320.8792,320.3779,0,U,33749,999,6321,0,.77E-6,0
TELSTAR 11N,2009-009A,2026-05-18T05:21:47.707776,1.00270312,.0002254,0.0167,319.2952,78.0885,241.4312,0,U,34111,999,4594,0,-.247E-5,0
WGS F2 (USA 204),2009-017A,2026-05-18T04:50:51.642240,1.00270965,.0001109,0.0172,325.0995,269.9320,131.1186,0,U,34713,999,4531,0,.72E-6,0
SES-7 (PROTOSTAR 2),2009-027A,2026-05-17T21:43:33.833280,1.00269394,.00007745,0.0798,82.9863,280.4429,306.3203,0,U,34941,999,6232,0,-.339E-5,0
MEASAT-3A,2009-032A,2026-05-17T22:08:38.816736,1.00270690,.0003409,0.0483,54.1958,357.5296,316.0500,0,U,35362,999,772,0,-.106E-5,0
GOES 14,2009-033A,2026-05-17T21:54:51.617952,1.00117134,.000158,1.6132,83.3765,336.3209,303.5050,0,U,35491,999,628,0,-.148E-5,0
FM-5,2009-034A,2026-05-18T03:56:38.747040,1.00270903,.0000777,0.0128,289.7149,342.4913,296.6633,0,U,35493,999,4634,0,-.196E-5,0
TERRESTAR-1,2009-035A,2026-05-18T04:33:43.560864,1.00272706,.0002814,5.1673,48.8078,7.0924,137.3843,0,U,35496,999,6183,0,-.54E-6,0
ASIASAT 5,2009-042A,2026-05-18T04:50:21.612192,1.00271819,.0001673,0.0447,93.9822,310.5926,4.4040,0,U,35696,999,6140,0,-.303E-5,0
JCSAT-12 (JCSAT-RA),2009-044A,2026-05-17T21:50:18.187008,1.00269870,.00011303,0.0500,89.4450,225.2018,20.6066,0,U,35755,999,6130,0,-.322E-5,0
OPTUS D3,2009-044B,2026-05-17T20:14:33.525312,1.00269717,.00029911,0.8569,270.3370,144.6797,280.3035,0,U,35756,999,6126,0,-.14E-5,0
NIMIQ 5,2009-050A,2026-05-18T04:48:30.563136,1.00270811,.0002761,0.0364,83.9737,337.5620,173.7956,0,U,35873,999,6104,0,-.253E-5,0
AMAZONAS 2,2009-054A,2026-05-16T11:12:30.210048,1.00221129,.00045329,1.7333,83.3796,37.9482,220.0833,0,U,35942,999,6086,0,-.27E-5,0
COMSATBW-1,2009-054B,2026-05-18T05:04:38.650080,1.00270820,.0003011,0.0619,92.9526,327.2054,314.9087,0,U,35943,999,6100,0,.29E-6,0
NSS-12,2009-058A,2026-05-18T04:50:51.642240,1.00270213,.0005103,0.0585,61.1240,325.8339,338.6515,0,U,36032,999,6061,0,.76E-6,0
THOR 6,2009-058B,2026-05-17T22:07:38.709120,1.00270257,.00015987,0.0036,35.3595,5.2360,166.0973,0,U,36033,999,6070,0,-.5E-7,0
INTELSAT 14 (IS-14),2009-064A,2026-05-18T04:59:22.235136,1.00270840,.0002269,0.0402,78.7059,342.5110,204.5361,0,U,36097,999,6030,0,-.269E-5,0
EUTELSAT 36B,2009-065A,2026-05-18T01:54:38.767968,1.00273410,.000562,0.4162,80.5841,335.5605,258.7960,0,U,36101,999,6040,0,.116E-5,0
INTELSAT 15 (IS-15),2009-067A,2026-05-17T21:37:00.914592,1.00270345,.00019984,0.0036,331.4287,77.7256,235.8518,0,U,36106,999,4092,0,-.18E-5,0
WGS F3 (USA 211),2009-068A,2026-05-18T04:28:38.560224,1.00270973,.0000189,0.3673,85.5560,215.1329,232.3762,0,U,36108,999,4629,0,.68E-6,0
DIRECTV 12,2009-075A,2026-05-17T22:26:38.574816,1.00271182,.0000352,0.0499,110.3248,203.6774,155.5800,0,U,36131,999,4625,0,-.98E-6,0
BEIDOU-2 G1,2010-001A,2026-05-17T18:27:21.305376,1.00267482,.00028298,4.2222,60.4875,299.7303,292.5109,0,U,36287,999,5986,0,-.276E-5,0
SDO,2010-005A,2026-05-17T08:45:00.466272,1.00271286,.00013466,34.5895,86.8072,44.4887,133.1758,0,U,36395,999,5975,0,-.73E-6,0
INTELSAT 16 (IS-16),2010-006A,2026-05-18T03:39:52.658784,1.00270466,.0002292,0.0111,318.1969,134.1843,122.2417,0,U,36397,999,5935,0,-.24E-5,0
EWS-G2 (GOES 15),2010-008A,2026-05-18T01:46:38.591328,1.00274926,.0004597,1.1973,83.3366,31.4145,211.0457,0,U,36411,999,5933,0,.25E-6,0
ECHOSTAR 14,2010-010A,2026-05-18T04:20:38.610816,1.00271422,.0002016,0.0156,290.4621,127.4888,124.1914,0,U,36499,999,4625,0,.4E-7,0
SES-1,2010-016A,2026-05-18T03:17:41.453376,1.00271010,.0002481,0.0160,356.9766,60.0198,127.2609,0,U,36516,999,5873,0,-.11E-5,0
ASTRA 3B,2010-021A,2026-05-18T01:15:38.668032,1.00272207,.0004168,1.3929,83.8973,336.9922,217.2480,0,U,36581,999,5856,0,.142E-5,0
COMSATBW-2,2010-021B,2026-05-18T01:23:38.853312,1.00268669,.0002496,0.0124,327.7618,99.7671,202.3070,0,U,36582,999,5865,0,0,0
BEIDOU-2 G3,2010-024A,2026-05-17T21:35:16.082016,1.00273957,.00082307,4.4441,61.6316,342.1696,235.1711,0,U,36590,999,5846,0,-.131E-5,0
BADR-5,2010-025A,2026-05-17T11:03:46.913760,1.00493378,.0001053,0.0607,120.5853,15.8311,295.4301,0,U,36592,999,5290,0,.162E-5,0
COMS 1,2010-032A,2026-05-17T21:06:27.166176,1.00271435,.00007664,4.7307,75.7453,330.8226,273.7694,0,U,36744,999,5078,0,-.34E-5,0
ARABSAT-5A,2010-032B,2026-05-18T01:07:38.703936,1.00273650,.0005088,0.0891,60.8570,22.7858,199.5160,0,U,36745,999,5834,0,.158E-5,0
ECHOSTAR 15,2010-034A,2026-05-18T04:20:38.610816,1.00270272,.0001916,0.0144,332.0519,53.6306,156.5614,0,U,36792,999,5802,0,.4E-7,0
