OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SAMSAT-IONOSPHERE (RS75S),2024-199BB,2026-05-18T03:49:58.951776,15.54909014,.0009898,97.2988,13.3968,46.1302,314.0769,0,U,61784,999,13289,.37225E-3,.24864E-3,0
RTU MIREA 1 (RS51S),2024-199BC,2026-05-18T04:19:44.490720,15.57756511,.000962,97.2980,14.1100,43.4602,316.7410,0,U,61785,999,12979,.43032E-3,.31976E-3,0
TEVEL2-4,2025-052D,2026-05-18T04:14:09.733056,15.33477611,.0002322,97.3938,34.5398,160.5325,199.6007,0,U,63213,999,6551,.32134E-3,.10323E-3,0
TEVEL2-5,2025-052E,2026-05-17T22:23:09.668256,15.33315937,.00022104,97.3937,34.2522,160.4809,199.6519,0,U,63214,999,6547,.38208888E-3,.12229E-3,0
TEVEL2-6,2025-052F,2026-05-18T03:21:47.479104,15.33280911,.0002331,97.3942,34.4439,161.8765,198.2561,0,U,63215,999,6550,.31307E-3,.9992E-4,0
TEVEL2-1,2025-052H,2026-05-17T16:51:06.864192,15.32779437,.00017748,97.3919,33.6655,176.5909,183.5346,0,U,63217,999,6542,.33738546E-3,.10606E-3,0
TEVEL2-3,2025-052J,2026-05-18T03:42:54.643968,15.32837184,.0001816,97.3915,34.1361,174.9518,185.1743,0,U,63218,999,6549,.30289E-3,.953E-4,0
TEVEL2-2,2025-052K,2026-05-18T03:49:49.524672,15.32794871,.000175,97.3912,34.1244,177.2804,182.8448,0,U,63219,999,6549,.29987E-3,.9421E-4,0
TEVEL2-9,2025-052AD,2026-05-18T03:56:52.087200,15.30908650,.0004219,97.3974,33.5674,237.0986,122.9849,0,U,63237,999,6543,.29746E-3,.881E-4,0
TEVEL2-7,2025-052AE,2026-05-18T04:47:50.634240,15.30638211,.0004394,97.3976,33.5307,237.4810,122.6007,0,U,63238,999,6543,.29451E-3,.8649E-4,0
TEVEL2-8,2025-052AF,2026-05-17T16:26:07.761984,15.30610503,.00042534,97.3978,32.9954,241.2273,118.8541,0,U,63239,999,6535,.3088695E-3,.9067E-4,0
HADES-ICM,2025-052BN,2026-05-17T23:29:16.855584,16.05564593,.00109834,97.3719,42.5940,184.5860,175.5323,0,U,63492,999,6603,.22396025E-2,.1545954E-1,.15531456E-2
INNOSAT 16 (RS92S7),2025-155C,2026-05-18T03:39:16.864992,15.25103416,.0008649,97.4552,105.3882,296.8781,63.1572,0,U,64878,999,7609,.1572E-3,.3864E-4,0
GEOSCAN 6 (RS92S6),2025-155D,2026-05-18T03:49:07.510080,15.29535321,.0005618,97.4545,106.6132,288.8903,71.1727,0,U,64879,999,7617,.21253E-3,.6009E-4,0
GEOSCAN 1 (RS92S1),2025-155E,2026-05-18T04:08:45.464352,15.30080445,.0005507,97.4543,106.7500,289.1135,70.9509,0,U,64880,999,7618,.22833E-3,.6572E-4,0
239ALFEROV (RS61S),2025-155F,2026-05-18T04:23:54.816576,15.32070658,.0004893,97.4544,107.2256,288.0400,72.0308,0,U,64881,999,7621,.28885E-3,.8869E-4,0
GEOSCAN 2 (RS92S2),2025-155Q,2026-05-18T04:07:22.516032,15.30360313,.0004768,97.4541,106.8894,270.1058,89.9636,0,U,64890,999,7619,.22349E-3,.6486E-4,0
GEOSCAN 5 (RS92S5),2025-155R,2026-05-18T04:17:04.407072,15.32390055,.0003883,97.4536,107.3469,300.1022,59.9835,0,U,64891,999,7622,.27597E-3,.8554E-4,0
GEOSCAN 4 (RS92S4),2025-155S,2026-05-18T03:58:22.434816,15.32525383,.0003893,97.4540,107.3741,300.3316,59.7540,0,U,64892,999,7622,.2753E-3,.8569E-4,0
GEOSCAN 3 (RS92S3),2025-155T,2026-05-18T04:52:26.326272,15.34307475,.000349,97.4529,107.7598,301.9950,58.0953,0,U,64893,999,7625,.3335E-3,.11002E-3,0
INNOSAT 3 (RS92S0),2025-155U,2026-05-18T03:37:22.174176,15.41608721,.0001757,97.4485,108.9833,311.5702,48.5393,0,U,64894,999,7633,.55701E-3,.2339E-3,0
KNACKSAT-2,1998-067XZ,2026-05-18T03:36:17.897760,15.57192031,.0012324,51.6302,85.2389,88.8056,271.4348,0,U,67683,999,1559,.42858E-3,.31493E-3,0
