OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32364,2024-191B,2026-05-18T05:35:59.718048,15.27570640,.0000987,43.0003,121.6319,264.1594,95.9145,0,U,61622,999,8817,.3029E-4,.571E-5,0
STARLINK-32331,2024-191C,2026-05-17T15:46:25.767552,15.27542408,.00008059,43.0026,128.5185,271.0809,88.9950,0,U,61623,999,8804,.23027062E-4,.371E-5,0
STARLINK-32398,2024-191D,2026-05-17T15:45:14.008896,15.27574407,.00011062,42.9992,125.0441,278.1957,81.8769,0,U,61624,999,8808,.8822264E-5,-.19E-6,0
STARLINK-32365,2024-191E,2026-05-18T05:24:53.701920,15.27570873,.0001225,43.0018,121.5740,264.8110,95.2602,0,U,61625,999,8817,-.31748E-4,-.1135E-4,0
STARLINK-32333,2024-191F,2026-05-17T16:03:02.545344,15.27572660,.00010392,43.0000,128.6044,270.5967,89.4766,0,U,61626,999,8804,-.11058002E-4,-.566E-5,0
STARLINK-32399,2024-191G,2026-05-18T04:54:51.468768,15.27564338,.0001113,43.0002,114.4839,206.2190,153.8605,0,U,61627,999,8825,-.60157E-4,-.1916E-4,0
STARLINK-32421,2024-191H,2026-05-17T23:45:16.195392,15.27572153,.0000941,42.9998,123.2464,271.4737,88.6006,0,U,61628,999,8813,-.14821E-4,-.67E-5,0
STARLINK-32403,2024-191J,2026-05-17T15:39:41.429376,15.27587556,.0001343,43.0020,125.0140,273.3450,86.7248,0,U,61629,999,8808,-.21326558E-3,-.6127E-4,0
STARLINK-32390,2024-191K,2026-05-17T16:05:35.545920,15.27581145,.00010254,43.0015,125.1513,281.0451,79.0286,0,U,61630,999,8808,-.9627406E-5,-.527E-5,0
STARLINK-32348,2024-191L,2026-05-18T01:16:52.939200,15.27571139,.0001164,43.0013,126.3275,270.4017,89.6701,0,U,61631,999,8810,-.29035E-4,-.1061E-4,0
STARLINK-32455,2024-191M,2026-05-18T00:04:55.600320,15.27574094,.0000913,43.0026,126.8152,276.0400,84.0347,0,U,61632,999,8809,-.50499E-4,-.1651E-4,0
STARLINK-32396,2024-191N,2026-05-17T15:57:29.365344,15.27576539,.00013929,43.0025,128.5728,273.1734,86.8958,0,U,61633,999,8804,-.78128096E-4,-.2411E-4,0
STARLINK-32355,2024-191P,2026-05-18T00:08:39.022080,15.27571126,.0000722,43.0010,126.8343,255.2622,104.8149,0,U,61634,999,8809,.18615E-4,.25E-5,0
STARLINK-32370,2024-191Q,2026-05-18T05:15:38.102400,15.27573686,.0001539,43.0021,121.5225,271.0040,89.0635,0,U,61635,999,8817,-.11936E-5,-.295E-5,0
STARLINK-32405,2024-191R,2026-05-18T00:14:12.672096,15.27554088,.0000697,43.0023,126.8650,285.1413,74.9362,0,U,61636,999,8809,-.79854E-4,-.2457E-4,0
STARLINK-32419,2024-191S,2026-05-17T22:16:37.555680,15.27595333,.00008291,43.0025,123.6415,275.8673,84.2084,0,U,61637,999,8812,.75192173E-4,.1809E-4,0
STARLINK-32320,2024-191T,2026-05-18T00:19:42.428064,15.27512070,.0001256,43.0027,126.8928,274.8102,85.2607,0,U,61638,999,8809,-.8564E-3,-.23704E-3,0
STARLINK-32341,2024-191U,2026-05-17T15:48:56.227968,15.27576926,.00006501,42.9994,125.0613,282.3828,77.6951,0,U,61639,999,8808,-.10735822E-4,-.557E-5,0
STARLINK-32339,2024-191V,2026-05-18T00:27:37.020672,15.27576163,.0001613,43.0031,122.6030,280.0484,80.0186,0,U,61640,999,8813,.12192E-5,-.229E-5,0
STARLINK-32327,2024-191W,2026-05-18T00:47:58.464384,15.27575017,.000108,43.0023,122.7072,269.2859,90.7869,0,U,61641,999,8814,-.15798E-4,-.697E-5,0
STARLINK-32264,2024-191X,2026-05-17T23:41:15.885024,15.46911794,.0014525,42.9940,118.8742,143.4862,216.6990,0,U,61642,999,8818,.16797E-2,.87613E-3,0
STARLINK-32337,2024-191Y,2026-05-18T05:41:32.569728,15.27572287,.0001137,43.0014,121.6571,269.4572,90.6150,0,U,61643,999,8893,-.11435E-4,-.577E-5,0
STARLINK-32238,2024-193A,2026-05-18T04:22:57.561024,15.30192314,.0001231,53.1602,128.4115,108.5908,251.5227,0,U,61661,999,8716,-.77484E-6,-.382E-5,0
STARLINK-32310,2024-193B,2026-05-18T03:44:44.174112,15.31693753,.0001186,53.1612,128.2449,84.7256,275.3881,0,U,61662,999,8716,-.13704E-4,-.79E-5,0
STARLINK-32308,2024-193C,2026-05-18T03:56:35.335104,15.34381545,.0001262,53.1612,127.5861,86.7427,273.3719,0,U,61663,999,8717,-.81557E-5,-.652E-5,0
STARLINK-32301,2024-193D,2026-05-18T05:39:49.167072,15.31700287,.0001268,53.1595,128.0332,81.7043,278.4102,0,U,61664,999,8717,.88211E-5,-.91E-6,0
STARLINK-32439,2024-193E,2026-05-17T16:08:46.385376,15.30187048,.0000987,53.1597,130.9112,93.1224,266.9890,0,U,61665,999,8708,-.17416509E-4,-.874E-5,0
STARLINK-32428,2024-193F,2026-05-18T03:37:22.752192,15.30186541,.0001154,53.1596,128.2128,79.5161,280.5970,0,U,61666,999,8716,-.13658E-4,-.763E-5,0
STARLINK-32414,2024-193G,2026-05-18T04:24:28.755360,15.30193330,.0001128,53.1607,128.4155,75.2678,284.8448,0,U,61667,999,8716,.1768E-5,-.307E-5,0
STARLINK-32441,2024-193H,2026-05-18T04:12:19.453824,15.30183474,.000108,53.1591,128.3651,85.5023,274.6101,0,U,61668,999,8716,-.64164E-4,-.2258E-4,0
STARLINK-32400,2024-193J,2026-05-18T03:45:43.771968,15.30188825,.0001242,53.1601,126.1190,92.0814,268.0329,0,U,61669,999,8719,-.12902E-4,-.741E-5,0
STARLINK-32449,2024-193K,2026-05-18T05:37:15.271392,15.30193291,.0001265,53.1604,128.0235,86.2986,273.8159,0,U,61670,999,8717,-.76042E-4,-.261E-4,0
STARLINK-32453,2024-193L,2026-05-18T03:44:58.437024,15.30184834,.0001128,53.1605,128.2444,92.2022,267.9108,0,U,61671,999,8716,-.12027E-4,-.715E-5,0
